id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id
I. Бассейн р. Оби от впадения р. Алея до устья р. Томи;;;;;;;;;;;
1;Обь;Обская губа Карского моря;—;—;3650;2990000;2310;5321;350095;29433;1-93
2;Алей (Восточный Алей) ;Обь;(лв);3490;858;21 100;140;307;877;128;94-107
3;Чесноков Алей ;Алей (Восточный Алей);(пр);832;17;;10;26;;;
4;Булочный Алей ;Алей;(лв);828;25;;29;58;;;
5;Глубокая ;»;(пр);821;29;;26;74;;;
6;Боровлянка;»;(лв);819;16;;13;28;;;
7;Бол. Черепаниха;»;(пр);809;25;;31;56;;;
8;Вост. Черепаниха;Бол. Черепаниха;(лв);14;10;;5;8;;;
9;Мал. Черепаниха ;»;(пр);12;10;;7;14;;;
10;Шипуниха;Алей;»;805;20;;5;7;;;
11;Грязнушка;Шипуниха;(лв);3;14;;5;9;;;
12;Бол. Боровлянка;Алей;»;787;11;;21;36;;;
13;Крутиха;»;»;778;14;;6;11;;;
14;Плоская;»;»;777;31;;54;94;;;
15;Каменка;»;(пр);769;37;251;26;50;;;
16;Таловка;»;(лв);755;19;;11;32;;;
17;Матрешкина;Таловка;(пр);3;21;;9;21;;;
18;Гольцовка (Бол. Гольцовка) ;Алей ;»;751;59;366;87;175;;;
19;Мал. Гольцовка;Бол. Гольцовка;»;48;12;;15;20;;;
20;Шапаревка;Алей;(лв);741;12;;1;1;;;
21;Корболиха (Бороздовая);»;(пр);720;55;550;50;133;;;108.109
22;Мал. Боровушка;Корболиха;»;36;11;;29;38;;;
23;Бол. Каменка;»;(лв);32;10;;12;17;;;
24;Крутишка;Корболиха;(пр);27;15;;14;24;;;
25;Харьковка;»;»;6;29;;40;75;;;
26;Березовка;Алей;»;714;21;;2;6;;;110
27;Каменка;»;(лв);689;46;215;6;30;;;
28;без названия;Каменка ;»;30;11;;—;—;;;
29;Солоновка;Алей;»;686;28;;2;5;;;
30;Ближняя Щелчиха;»;(пр);679;21;;4;12;;;
31;Дальняя Щелчиха;Ближняя Щелчиха;»;3;18;;2;4;;;
32;Тушканиха;Алей;»;676;14;;3;4;;;
33;Сухая Речка;»;»;656;10;;1;3;;;
34;Устьянка;»;»;645;18;;9;26;;;
35;протока Исток ;»;(лв);625;12;;—;—;;;
36;Золотуха;»;»;624;68;707;15;32;;;
37;Бочанка;Золотуха;»;58;10;;1;0.5;;;
