id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;10km_trib_amount;10km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id;;;;;
Бассейн р. Бия;;;;;;;;;;;
1;Бия;Обь;(пр);3647;301;37000;170;313;2753;398;1-13
2;Юрток (Лев. Юрток);Бия;»;299;17;;39;52;;;
3;Пыжа;»;(лв);286;103;1180;404;607;35;1,54;14
4;Учал;Пыжа;»;74;33;;41;68;;;
5;Эвий;»;»;56;18;;76;90;;;
6;Турга;»;»;55;10;;24;40;;;
7;Еле;»;»;34;19;;48;60;;;
8;Кооно;»;(пр);20;11;;11;20;;;
9;Чуря;»;»;12;22;;15;26;;;
10;Кебезенка;Бия;»;278;16;;29;38;;;
11;Саракопша (Сары-Кокша);»;(лв);273;90;3150;33;96;115;3,73;15.16
12;Каракопша;Саракопша;(пр);42;49;;10;22;;;
13;Угул;Каракопша;»;38;16;;10;22;;;
14;Саганы;»;»;31;16;;5;21;;;
15;Угул;»;(лв);28;19;;6;11;;;
16;Кылай;»;»;25;18;;3;4;;;
17;Аргунду;»;»;20;12;;1;2;;;
18;Кузя (Бол. Кузя);Саракопша;(пр);36;31;;4;8;;;
19;Мал. Кузя;Кузя;»;14;17;;4;6;;;
20;Кульбич;»;»;12;14;;1;3;;;
21;Ынырга (Верх. Ынырга);Саракопша;(лв);28;20;;4;12;;;
22;Сейка;Ынырга;»;5;12;;4;6;;;17
22а;Синюха;Сейка;»;1;4;10;—;—;;;18
23;Юля;Саракопша;(пр);20;20;;6;18;;;
24;Уймень;Саракопша;(пр);12;98;1400;54;152;96;3,12;19
25;Верх. Ямбош;Уймень;»;80;13;;17;30;;;
26;Чевош;»;(лв);70;22;;19;54;;;
27;Балыкты (Балыксу) ;»;»;68;19;;8;26;;;
28;Кележе (Верх. Кележе);»;(пр);64;18;;30;44;;;
29;Куурсан;»;(лв);62;10;;2;7;;;
30;Ложа;»;»;56;30;;10;40;;;
31;Еле (Ель);»;(пр);56;16;;9;13;;;
32;Кайна;»;(лв);48;14;;2;2;;;
33;Ербута;»;(пр);48;13;;1;1;;;
34;Нырна;»;(лв);41;13;;3;7;;;
35;Юзели;протока р. Уймень;»;26;13;;1;2;;;
36;Часта;Уймень;(пр);17;10;;4;5;;;
37;Тулой;Бия;»;259;54;384;150;235;;;
38;Эдербес;Тулой;(лв);18;16;;65;94;;;
39;Кяраса;»;(пр);10;10;;13;13;;;
40;без названия;Бия;»;252;10;;12;25;;;
41;Бава;»;(лв);243;25;;10;33;;;
42;Чойка;Бава;(пр);1;14;;5;10;;;
43;Тандошка;Бия;»;238;42;209;56;110;;;
44;Тагаза;Тандошка;(лв);16;14;;9;11;;;
45;Лебедь;Бия;(пр);215;175;4500;196;400;12;0,94;20.21
46;Манык;Лебедь;»;148;14;;43;55;;;
47;Пушта;»;(лв);137;12;;16;32;;;
48;Каурчак;»;(пр);130;36;;71;122;;;
49;Мал. Каурчак;Каурчак;»;20;11;;16;23;;;
50;Арык;Мал. Каурчак;(лв);1;11;;9;18;;;
51;Андоба;Каурчак;(пр);2;14;;32;62;;;
52;Албас;Лебедь;(лв);124;11;;23;25;;;
53;Сандра;»;»;114;55;415;38;72;1;0,36;
.54;Тюстей;Сандра;(пр);38;11;;15;20;;;
55;Кок;»;(лв);30;13;;6;16;;;
56;Яман-Сандра;»;(пр);22;16;;24;38;;;
57;Каба;»;(лв);11;14;;3;4;;;
58;Атла;Лебедь;(пр);107;31;;54;94;;;
59;Чугуна;Атла;»;11;21;;29;46;;;
60;Чулта;Чугуна;»;3;18;;16;15;;;
61;Ата;Лебедь;»;92;28;;39;69;;;
62;Кучаган;Ата;(пр);13;14;;6;12;;;
63;Базла;Лебедь;(лв);86;22;;9;24;;;
64;Салазан;»;(пр);83;14;;7;10;;;
65;Тюлем;»;»;54;30;;38;84 ;;;
66;Байгол;»;(лв);51;85;1360;63;164;5;0,46;22.23
67;Билюзень;Байгол;(пр);59;12;;4;8;;;
68;Тогуна;»;»;48;17;;9;23;;;
69;Яндоч;Тогуна;(лв);7;11;;3;2;;;
70;Сайта;Байгол;»;46;28;;20;44;;;24
71;Шукша;»;»;42;12;;3;7;;;
72;Беля;»;(пр);30;11;;7;18;;;
73;Клык;»;(лв);17;60;599;50;104;1;0,07;25, 26
74;Бийка;Клык;(пр);42;12;;16;25;;;
75;Чуйка;»;(лв);14;35;;75;150;;;27
76;Аинка;Лебедь;»;42;18;;34;63;;;
77;Сия (Бол. Сия);»;(пр);22;46;;52;76;;;
78;Кам. Сия;Сия;»;33;11;;8;13;;;
79;Ушперек (Бол. Ушперек);»;»;27;11;;14;28;;;
80;Каяшкан;»;»;23;17;;32;60;;;
81;Куйган;Каяшкан;»;2;13;;15;24;;;
82;Горе;Сия;(лв);10;10;;5;6;;;
83;Кутюш;»;(пр);6;14;;17;32;;;
84;Салазан;Сия;(лв);5;10;;7;о;;;
85;Алемчир;Бия;(пр);210;10;;18;27;;;
86;Полыш;»;(лв);208;13;;2;2;;;
87;Ульмень;»;(пр);194;48;;113;205;;;
88;Личим (Бол. Личим);Ульмень;»;26;13;;17;32;;;
89;Курлем;»;(лв);6;11;;13;13;;;
90;Ушпа;Бия;(пр);190;24;214;33;54;;;
91;Талатарбак;Ушпа;(лв);16;10;;14;16;;;
92;Калтарак;»;(пр);12;12;;2;6;;;
93;Тибезя;Бия;(лв);180;39;;17;40;;;
94;Бол. Куют;»;(пр);166;33;223;8;37;;;
95;Мал. Куют;Бол.Куют;»;1;11;;5;16;;;
96;Балыкса (Камнчушка);Бия;(лв);163;31;;9;18;;;
97;Учурга;»;(пр);154;24;;15;37;;;
98;Кутенек;»;(лв);133;14;;—;—;;;
99;Кожа;»;»;129;63;4210;72;120;;;
100;Кожушка;Кожа;(пр);31;18;;24;35;;;
101;Богучак;»;(лв);19;17;;12;25;;;
102;Богучак;»;»;13;18;;—;—;;;
103;Чапчушка;Бия;»;120;22;;56;79;;;
104;Неня;»;(пр);92;185;2210;116;168;23;1,02;28
105;Тала;Неня;»;152;14;;40;46;;;
106;Излап;»;»;138;16;;11;18;;;
107;Каракол;»;(лв);134;16;;18;24;;;
108;Черняй;»;»;127;33;417;33;48;;;
109;без названия;Черняй;(пр);9;16;;35;37;;;
110;Ташта;»;(лв);8;14;;12;14;;;
111;Мунай (Мунайчнк);»;»;4;18;;16;25;;;
112;Тоузак;Мунай;(пр);3;15;;14;14;;;
113;Чулда;теряется;;—;24;;19;27;;;
114;Ушлеп;Чулда;(пр);6;21;;51;72;;;
115;Соза;Неня;(лв);108;22;72;26;43;;;
116;Уруна;»;(пр);102;47;246;41;72;6;0.3;
117;Болотное;Уруна;»;18;16;;6;6;;;
118;Солтонка;Неня;»;101;32;183;J7;31;;;29
119;Шаландайка;Солтонка;(лв);11;16;;1;1;;;
120;Кубия;теряется;;—;16;;12;12;;;
121;Караган;Неня;(пр);78;28;108;11;14;;;
122;без названия;Караган;(лв);8;14;;1;2;;;
123;Кубия;Неня;»;74;13;;2;2;;;
124;Казенная;»;»;64;10;;8;12;;;
125;Шалап;»;(пр);62;30;119;9;23;;;
126;без названия;Шалап;(лв);11;12;;1;2;;;
127;Карабашка;Неня;(пр);44;25;;9;20;;;
128;Чебалчиха (Чебашиха);»;»;10;11;;4;9;;;
129;Соусканиха;Бия;(лв);85;17;;27;43;;;
130;Талица;»;»;68;28;;8;18;;;
131;Тайлап;Талица;(пр);13;11;;3;6;;;
132;Бехтемир (Лев. Бехтемир);Бия;»;64;117;665;28;66;4;0.11;
133;Прав. Бехтемир;Бехтемир;»;66;20;88,0;9;14;;;
134;Илюшиха;»;»;48;13;40,0;1;1;;;
135;Шубинка;»;(лв);41;13;;6;7;;;
136;Козлачиха;»;»;18;14;;1;7;;;
