id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id;;;;;
Бассейн р. Бия;;;;;;;;;;;
1;Бия;Обь;(пр);3647;301;37000;170;313;2753;398;1-13
2;Юрток (Лев. Юрток);Бия;»;299;17;;39;52;;;
3;Пыжа;»;(лв);286;103;1180;404;607;35;1,54;14
4;Учал;Пыжа;»;74;33;;41;68;;;
5;Эвий;»;»;56;18;;76;90;;;
6;Турга;»;»;55;10;;24;40;;;
7;Еле;»;»;34;19;;48;60;;;
8;Кооно;»;(пр);20;11;;11;20;;;
9;Чуря;»;»;12;22;;15;26;;;
10;Кебезенка;Бия;»;278;16;;29;38;;;
11;Саракопша (Сары-Кокша);»;(лв);273;90;3150;33;96;115;3,73;15.16
12;Каракопша;Саракопша;(пр);42;49;;10;22;;;
13;Угул;Каракопша;»;38;16;;10;22;;;
14;Саганы;»;»;31;16;;5;21;;;
15;Угул;»;(лв);28;19;;6;11;;;
16;Кылай;»;»;25;18;;3;4;;;
17;Аргунду;»;»;20;12;;1;2;;;
18;Кузя (Бол. Кузя);Саракопша;(пр);36;31;;4;8;;;
